REST API -JSON

GET /api/users - List all users

GET /api/users/1 - Get the user with ID 1
GET /api/users/2 - Get the user with ID 2

POST /api/users - Create new user

PATCH /api/users/1 - Edit the user with ID 1

DELETE /api/users/1 - Delete the USer with ID 1


https://mockaroo.com/
1725621403374:::1 GET: /favicon.ico
1725622416930:::1 POST: /
1725622535001:::1 GET: /user
1725623424109:::1 GET: /user
1725623467957:::1 POST: /
1725623565600:::1 POST: /user
1725623702123:::1 POST: /user
1725623721594:::1 POST: /user
1725623878314:::1 POST: /api/users
1725623922038:::1 GET: /api/users
1725623956785:::1 POST: /api/users
1725624080570:::1 POST: /api/users
1725624090773:::1 POST: /api/users
1726068630465:::1 GET: /test
1726068630727:::1 GET: /favicon.ico
1726068775206:::1 GET: /test
1726068776479:::1 GET: /test
1726068776694:::1 GET: /test
1726068776911:::1 GET: /test
1726068804916:::1 GET: /test
1726068806456:::1 GET: /test
1726068828239:::1 GET: /M_n5IiQ5X
1726068831200:::1 GET: /M_n5IiQ5X
1726068832328:::1 GET: /M_n5IiQ5X
1726068832584:::1 GET: /M_n5IiQ5X
1726068848431:::1 GET: /test
1726068850806:::1 GET: /M_n5IiQ5X
1726068951054:::1 GET: /test
1726068954921:::1 GET: /M_n5IiQ5X
1726068962143:::1 GET: /url/M_n5IiQ5X
1726068965945:::1 GET: /url/M_n5IiQ5X
1726068966715:::1 GET: /url/M_n5IiQ5X
1726069032753:::1 GET: /user/M_n5IiQ5X
1726069036825:::1 GET: /user/M_n5IiQ5X
1726069037078:::1 GET: /user/M_n5IiQ5X
1726069037304:::1 GET: /user/M_n5IiQ5X
1726069037576:::1 GET: /user/M_n5IiQ5X
1726069104201:::1 GET: /user/M_n5IiQ5X
1726069105676:::1 GET: /user/M_n5IiQ5X
1726069106092:::1 GET: /user/M_n5IiQ5X
1726069112941:::1 GET: /M_n5IiQ5X
1726069164089:::1 GET: /url/M_n5IiQ5X
1726069183626:::1 GET: /M_n5IiQ5X
1726069193128:::1 GET: /test
1726069197229:::1 GET: /url/M_n5IiQ5X
1726069200672:::1 GET: /test
1726489567204:::1 GET: /favicon.ico
1726489572310:::1 GET: /test
1726489911408:::1 GET: /test
1726489990621:::1 GET: /test
1726490569832:::1 GET: /
1726490937020:::1 GET: /
1726496510619:::1 POST: /url
1726496567555:::1 POST: /url
1726496740772:::1 POST: /url
1726496899102:::1 POST: /url
1726496921202:::1 GET: /
1726496952562:::1 POST: /url
1726496984383:::1 POST: /url
1726497011873:::1 POST: /url
1726497041811:::1 GET: /
1726497043048:::1 GET: /
1726497046824:::1 POST: /
1726497373539:::1 POST: /url
1726498002023:::1 POST: /url
1726498198119:::1 POST: /url
1726498400618:::1 POST: /url
1726499214834:::1 POST: /url
1726499324739:::1 POST: /url
1726499374725:::1 GET: /
1726499391539:::1 POST: /url
1726499424595:::1 POST: /url
1726499434894:::1 GET: /iPIc38Rfb
1726499599681:::1 GET: /url/iPIc38Rfb
